date,product_id,product_name,category,quantity,unit_price,customer_id,customer_name,region,sales_rep
2024-01-15,P001,Laptop Pro 15,Electronics,2,1299.99,C001,Tech Solutions Inc,North,John Smith
2024-01-15,P002,Wireless Mouse,Electronics,5,29.99,C002,Office Supplies Co,South,Sarah Johnson
2024-01-16,P003,Office Chair,Furniture,1,249.99,C003,Corporate Furniture Ltd,East,Mike Davis
2024-01-16,P001,Laptop Pro 15,Electronics,1,1299.99,C004,StartUp Tech,West,John Smith
2024-01-17,P004,Desk Lamp,Furniture,3,79.99,C005,Home Office Store,North,Lisa Wilson
2024-01-17,P005,Notebook Set,Stationery,10,12.99,C006,School Supplies Inc,South,Sarah Johnson
2024-01-18,P002,Wireless Mouse,Electronics,8,29.99,C007,Tech Retailers,East,Mike Davis
2024-01-18,P006,Printer Paper,Stationery,20,8.99,C008,Print Solutions,West,Lisa Wilson
2024-01-19,P007,Standing Desk,Furniture,1,599.99,C009,Ergonomic Office,North,John Smith
2024-01-19,P008,Keyboard Mechanical,Electronics,3,149.99,C010,Gaming Store,South,Sarah Johnson
2024-01-20,P003,Office Chair,Furniture,2,249.99,C011,Workspace Solutions,East,Mike Davis
2024-01-20,P009,Monitor 24inch,Electronics,1,299.99,C012,Display Tech,West,Lisa Wilson
2024-01-21,P010,Pen Set Premium,Stationery,5,24.99,C013,Executive Supplies,North,John Smith
2024-01-21,P004,Desk Lamp,Furniture,2,79.99,C014,Lighting Store,South,Sarah Johnson
2024-01-22,P001,Laptop Pro 15,Electronics,3,1299.99,C015,Enterprise Tech,East,Mike Davis
2024-01-22,P011,Webcam HD,Electronics,4,89.99,C016,Video Solutions,West,Lisa Wilson
2024-01-23,P012,Bookshelf,Furniture,1,199.99,C017,Storage Solutions,North,John Smith
2024-01-23,P005,Notebook Set,Stationery,15,12.99,C018,Student Supplies,South,Sarah Johnson
2024-01-24,P013,Tablet Stand,Electronics,6,39.99,C019,Mobile Accessories,East,Mike Davis
2024-01-24,P014,File Cabinet,Furniture,1,349.99,C020,Office Organization,West,Lisa Wilson
2024-01-25,P015,Whiteboard,Stationery,2,89.99,C021,Presentation Tools,North,John Smith
2024-01-25,P002,Wireless Mouse,Electronics,12,29.99,C022,Bulk Electronics,South,Sarah Johnson
2024-01-26,P016,Ergonomic Cushion,Furniture,4,49.99,C023,Comfort Solutions,East,Mike Davis
2024-01-26,P017,USB Drive 64GB,Electronics,10,19.99,C024,Data Storage Co,West,Lisa Wilson
2024-01-27,P018,Sticky Notes Pack,Stationery,25,4.99,C025,Quick Notes Inc,North,John Smith
2024-01-27,P007,Standing Desk,Furniture,2,599.99,C026,Health Office,South,Sarah Johnson
2024-01-28,P019,Headphones Wireless,Electronics,3,199.99,C027,Audio Tech,East,Mike Davis
2024-01-28,P020,Desk Organizer,Stationery,8,34.99,C028,Tidy Office,West,Lisa Wilson
2024-01-29,P001,Laptop Pro 15,Electronics,1,1299.99,C029,Solo Entrepreneur,North,John Smith
2024-01-29,P021,Conference Phone,Electronics,1,449.99,C030,Meeting Solutions,South,Sarah Johnson
2024-01-30,P022,Projector Portable,Electronics,1,799.99,C031,Presentation Pro,East,Mike Davis
2024-01-30,P003,Office Chair,Furniture,3,249.99,C032,Seating Solutions,West,Lisa Wilson
2024-01-31,P023,Calculator Scientific,Electronics,7,29.99,C033,Math Tools Inc,North,John Smith
2024-01-31,P024,Shredder Personal,Electronics,2,149.99,C034,Security Office,South,Sarah Johnson
2024-02-01,P025,Laminator,Electronics,1,89.99,C035,Document Solutions,East,Mike Davis
2024-02-01,P026,Paper Clips Box,Stationery,50,2.99,C036,Basic Supplies,West,Lisa Wilson
2024-02-02,P027,Stapler Heavy Duty,Stationery,6,19.99,C037,Binding Solutions,North,John Smith
2024-02-02,P028,Hole Punch,Stationery,4,14.99,C038,Paper Tools,South,Sarah Johnson
2024-02-03,P029,Desk Mat,Furniture,5,24.99,C039,Surface Protection,East,Mike Davis
2024-02-03,P030,Cable Management,Electronics,12,9.99,C040,Wire Solutions,West,Lisa Wilson
